gvkey,year,patents_applied,patents_granted,private_subsidiary_patents,distinct_assignee_names,private_subsidiary_share,cik,link_method,link_score,link_conflict,candidate_count,ticker_hint,revenue,sales_marketing_expense,sga_expense,rd_expense,capex,employees,sales_marketing_to_revenue,sga_to_revenue,rd_to_revenue,capex_to_revenue,kw_sales_force,kw_customer_service,kw_brand,kw_advertising,kw_customer_data,customer_capital_keyword_total,sic,sic_description,state_of_incorporation,fiscal_year_end,entity_type,name_sec,ticker_sec,naics2_proxy
001045,2011,7,7,0,3,0.0,0000084246,fuzzy_name,0.9,False,2.0,,619169000.0,,,,5382000.0,,,,,0.008692295641416155,,,,,,,6331,"Fire, Marine & Casualty Insurance",DE,1231,operating,RLI CORP,RLI,52
001045,2012,4,4,0,1,0.0,0000084246,fuzzy_name,0.9,False,2.0,,660774000.0,,,,18521000.0,,,,,0.028029250545572315,,,,,,,6331,"Fire, Marine & Casualty Insurance",DE,1231,operating,RLI CORP,RLI,52
001045,2013,10,10,0,1,0.0,0000084246,fuzzy_name,0.9,False,2.0,,705601000.0,,,,25407000.0,,,,,0.036007602030042475,,,,,,,6331,"Fire, Marine & Casualty Insurance",DE,1231,operating,RLI CORP,RLI,52
001045,2014,6,6,0,1,0.0,0000084246,fuzzy_name,0.9,False,2.0,,775165000.0,,,,7121000.0,,,,,0.0091864312759219,,,,,,,6331,"Fire, Marine & Casualty Insurance",DE,1231,operating,RLI CORP,RLI,52
001045,2015,1,1,0,1,0.0,0000084246,fuzzy_name,0.9,False,2.0,,794634000.0,,,,10035000.0,,,,,0.01262845536435642,,,,,,,6331,"Fire, Marine & Casualty Insurance",DE,1231,operating,RLI CORP,RLI,52
001045,2016,6,6,0,2,0.0,0000084246,fuzzy_name,0.9,False,2.0,,816328000.0,,,,16155000.0,,,,,0.01978983937828912,0.0,0.0,0.0,1.0,0.0,1.0,6331,"Fire, Marine & Casualty Insurance",DE,1231,operating,RLI CORP,RLI,52
001045,2017,7,7,0,1,0.0,0000084246,fuzzy_name,0.9,False,2.0,,797224000.0,,,,9238000.0,,,,,0.011587709351449529,0.0,1.0,0.0,0.0,0.0,1.0,6331,"Fire, Marine & Casualty Insurance",DE,1231,operating,RLI CORP,RLI,52
001045,2018,3,3,0,1,0.0,0000084246,fuzzy_name,0.9,False,2.0,,818123000.0,,,,6087000.0,,,,,0.0074402015344880905,1.0,1.0,0.0,1.0,0.0,3.0,6331,"Fire, Marine & Casualty Insurance",DE,1231,operating,RLI CORP,RLI,52
001045,2019,2,2,0,1,0.0,0000084246,fuzzy_name,0.9,False,2.0,,1003591000.0,,,,6955000.0,,,,,0.006930113960766886,0.0,1.0,2.0,0.0,0.0,3.0,6331,"Fire, Marine & Casualty Insurance",DE,1231,operating,RLI CORP,RLI,52
001048,1999,1,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001048,2000,1,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001050,2015,1,1,0,1,0.0,0000003197,exact_compact_name,0.985,False,1.0,,101246000.0,,67329000.0,,763000.0,,,0.665004049542698,,0.007536100191612508,3.0,4.0,5.0,6.0,0.0,18.0,3564,Industrial & Commercial Fans & Blowers & Air Purifing Equip,DE,1231,operating,CECO ENVIRONMENTAL CORP,CECO,31-33
001050,2016,3,3,1,3,0.3333333333333333,0000003197,exact_compact_name,0.985,False,1.0,,99982000.0,,81743000.0,,1076000.0,,,0.8175771638895001,,0.010761937148686763,3.0,4.0,4.0,6.0,0.0,17.0,3564,Industrial & Commercial Fans & Blowers & Air Purifing Equip,DE,1231,operating,CECO ENVIRONMENTAL CORP,CECO,31-33
001050,2018,1,1,0,1,0.0,0000003197,exact_compact_name,0.985,False,1.0,,93854000.0,,87462000.0,,3090000.0,,,0.9318942186800776,,0.03292347688963709,3.0,3.0,6.0,3.0,0.0,15.0,3564,Industrial & Commercial Fans & Blowers & Air Purifing Equip,DE,1231,operating,CECO ENVIRONMENTAL CORP,CECO,31-33
001056,2004,1,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001072,1997,6,6,1,2,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001072,1998,5,5,1,2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001072,1999,8,8,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001072,2000,8,8,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001072,2001,8,8,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001072,2002,14,14,1,2,0.07142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001072,2003,9,9,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001072,2004,11,11,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001072,2005,8,8,2,2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001072,2006,19,19,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001072,2007,13,13,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001072,2008,18,18,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001072,2009,20,20,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001072,2010,20,20,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001072,2011,21,21,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001072,2012,15,15,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001072,2013,27,27,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001072,2014,24,24,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001072,2015,20,20,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001072,2016,26,26,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001072,2017,22,22,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001072,2018,23,23,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001075,1999,1,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001075,2001,4,4,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001075,2002,4,4,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001075,2003,3,3,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001075,2004,3,3,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001078,1997,166,166,3,3,0.018072289156626505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001078,1998,136,136,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001078,1999,140,140,1,2,0.007142857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001078,2000,131,131,1,2,0.007633587786259542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
