year,n_patents,benchmark_mean,p10,p50,p90
1986,27949,0.23047421301295098,0.002047930844264048,0.028112201107091207,0.9409067773858705
1987,29302,0.23005116634165254,0.0020326786970735287,0.02653594824588145,0.940185564774949
1988,32594,0.23380783908706776,0.0019664905088056326,0.028236274835160037,0.9438057184994544
1989,34904,0.2237628521950188,0.001877166535147734,0.024783379144934115,0.9374434000192335
1990,36147,0.2232849717411477,0.001765706934155553,0.023163173962735813,0.942001938785352
1991,37316,0.22225752747791536,0.0016523856076432366,0.022455539050777955,0.9428365467811257
1992,39041,0.21999164950321343,0.0015862088455624917,0.021621841642666235,0.9442621564968985
1993,41078,0.2198410448100338,0.001482827440090748,0.019735137469153504,0.9462759878161597
1994,48292,0.21341156819992374,0.0013115091595658154,0.016413269168748596,0.9445686890225361
1995,60366,0.19404383581470552,0.0012043001911433051,0.012643424078374788,0.9188434360445858
1996,61609,0.19888453449294122,0.0010821770455831231,0.01214039679199457,0.9247663661744518
1997,74921,0.18959801318201672,0.0010284717877237152,0.010226767851637621,0.9178503823065137
1998,75671,0.18275675862177082,0.000987422557642521,0.00887148922168064,0.9055010614639974
1999,82317,0.18028945982561043,0.0009622759077133176,0.008274867562392813,0.9000302832474414
2000,89478,0.17862940485844497,0.0009331716921046021,0.007661321858408494,0.9020708260382801
2001,95981,0.17482973285459322,0.0009318720286954678,0.007356077288804579,0.8935156412864907
2002,96563,0.17545542456377003,0.0009282468956878483,0.007038358399579852,0.8987950944315599
2003,94440,0.1731881505306621,0.0009210037999145995,0.00661841442923483,0.8952382401173657
2004,95752,0.1726955512524156,0.0009014595396470315,0.006018674768609771,0.9025683988803515
2005,98872,0.17316681377024448,0.0008641978155931498,0.005667614438634921,0.9114980497297231
2006,99097,0.17138331110828567,0.0008525206327498019,0.005353461020829224,0.907272281052515
2007,101959,0.17347236666238788,0.0008319115228804623,0.005308486806255066,0.9125936149735149
2008,103262,0.17535806731451276,0.0008297292495291875,0.005294107493637647,0.919642161624608
2009,94661,0.18534910064503154,0.0008505862942478368,0.006297887464901915,0.9392518489977141
2010,98961,0.18285804674677014,0.0008455579487173746,0.006097125466763684,0.9310835985874657
2011,109090,0.1809987032055665,0.0008272229830238709,0.005949572241133211,0.9280997362627171
2012,123759,0.17705752593675228,0.0007961430056598323,0.00522665312431853,0.9280590454600993
2013,125094,0.18077774757795315,0.0007963723200602464,0.005457892586625247,0.9348094821065731
2014,123841,0.1861220930238916,0.0007924661040475947,0.005956944320074667,0.9438789376836818
2015,125504,0.19080522202093086,0.0007986809921708664,0.0060028980686953875,0.9555894416411947
2016,118610,0.19456455770151315,0.0007966933864669647,0.0062931754463505405,0.9645244370319898
2017,107085,0.1945673734890207,0.0008111556447030035,0.006311612069348275,0.964368373362301
2018,75354,0.18965851645244466,0.0008009218014542035,0.0057031795844331,0.9614125587761304
2019,31504,0.17674746035790329,0.0007988066526476269,0.004679193986364375,0.9449980768272799
2020,2147,0.16664146760498078,0.0007592485938463562,0.004230810681204922,0.9391658284505853
